,Epoch,CLARIFY Train AUROC,CLARIFY Train AP,CLARIFY Test AP,CLARIFY Test ROC,CLARIFY Test AUPRC,CLARIFY Test ACC,CLARIFY Test MCC,CLARIFY test Recall,CLARIFY Test f1-score,CLARIFT Test Precision0.5,Test_Specificity_confusion
69,69,0.78270052,0.740897383,0.694653553,0.750436085,0.694219025,0.709897611,0.475883478,0.945392491,0.76519337,0.642691415,0.4744
70,70,0.785368421,0.74309256,0.693365734,0.751519383,0.692921799,0.71331058,0.471701472,0.92662116,0.76371308,0.649521531,0.5
71,71,0.788303627,0.745311705,0.694425046,0.753972819,0.694016546,0.71331058,0.475595545,0.934300341,0.765199161,0.647928994,0.49232
72,72,0.7913653,0.747109282,0.694950188,0.756379661,0.694514812,0.714163823,0.485555907,0.949658703,0.768646409,0.645591647,0.47867
73,73,0.794053855,0.748600125,0.694585133,0.757542313,0.694145862,0.722696246,0.505424011,0.959044369,0.775707384,0.651216686,0.48635
74,74,0.796780779,0.751062496,0.693197941,0.758306736,0.692756057,0.722269625,0.495338687,0.942832765,0.772457183,0.654233274,0.50171
75,75,0.799662711,0.754047415,0.692413346,0.759553111,0.691980946,0.72440273,0.502227677,0.948805461,0.774912892,0.654888104,0.5
76,76,0.801776283,0.756547486,0.690247734,0.759453736,0.68981783,0.725255973,0.493004291,0.928327645,0.771631206,0.660194175,0.52218
77,77,0.802966421,0.757198559,0.687466369,0.758892066,0.687001848,0.726962457,0.497988524,0.932593857,0.773531493,0.660822249,0.52133
78,78,0.806379821,0.760020758,0.689460711,0.761613414,0.688982218,0.729522184,0.505329414,0.938566553,0.776287932,0.661853189,0.52048
79,79,0.811893626,0.764872424,0.695108219,0.767510396,0.694661371,0.73165529,0.503932,0.928327645,0.775757576,0.66625842,0.53498
80,80,0.817115327,0.769343637,0.699379682,0.772187212,0.6989492,0.732508532,0.503426237,0.924061433,0.775510204,0.668106107,0.54096
81,81,0.8232364,0.775478267,0.70500669,0.777545458,0.704554268,0.739761092,0.519729125,0.932593857,0.781831187,0.673029557,0.54693
82,82,0.829126998,0.781727881,0.710989903,0.782471986,0.710508279,0.738054608,0.509980707,0.917235495,0.777858177,0.675251256,0.55887
83,83,0.836028662,0.789042265,0.72035568,0.789747114,0.719885468,0.741894198,0.51589495,0.91552901,0.780079971,0.679544015,0.56826
84,84,0.846474337,0.800000227,0.733760952,0.801169786,0.73333566,0.750426621,0.523501735,0.895904437,0.782122905,0.693985459,0.60495
85,85,0.856430455,0.809725937,0.745481032,0.812379876,0.745109673,0.763651877,0.542105263,0.879692833,0.7882263,0.71398892,0.64761
86,86,0.863373161,0.815979989,0.753724414,0.820095458,0.753387144,0.779863481,0.574260001,0.891638225,0.801995395,0.728730823,0.66809
87,87,0.868324683,0.821263691,0.762859169,0.828068032,0.762530449,0.784982935,0.583392986,0.891638225,0.805705474,0.73488045,0.67833
88,88,0.872850817,0.827676698,0.774848195,0.837470442,0.774502949,0.788395904,0.589933539,0.89334471,0.808494208,0.738363893,0.68345
89,89,0.874120364,0.828994206,0.780170791,0.840673741,0.779803307,0.791382253,0.590163306,0.870307167,0.806642942,0.751658069,0.71246
